Category,Affiliated Store,Type
호텔/리조트,해비치호텔앤드리조트,오프라인
호텔/리조트,롯데호텔,오프라인
호텔/리조트,호텔신라,오프라인
호텔/리조트,그랜드 하얏트 서울,오프라인
호텔/리조트,그랜드 하얏트 인천,오프라인
호텔/리조트,파크 하얏트 서울,오프라인
호텔/리조트,파크 하얏트 부산,오프라인
호텔/리조트,콘래드 서울,오프라인
호텔/리조트,포시즌스 호텔 서울,오프라인
호텔/리조트,파라다이스 호텔앤리조트,오프라인
호텔/리조트,반얀트리 클럽 앤 스파 서울,오프라인
호텔/리조트,조선호텔앤리조트,오프라인
호텔/리조트,그랜드 인터컨티넨탈 서울 파르나스,오프라인
호텔/리조트,인터컨티넨탈 서울 코엑스,오프라인
호텔/리조트,파르나스 호텔 제주,오프라인
호텔/리조트,워커힐 호텔앤리조트,오프라인
호텔/리조트,워커힐 환승호텔 (인천국제공항),오프라인
호텔/리조트,한화호텔앤드리조트,오프라인
호텔/리조트,더 플라자,오프라인
호텔/리조트,안다즈 서울 강남,오프라인
호텔/리조트,라이즈 오토그래프 컬렉션,오프라인
호텔/리조트,오크밸리,오프라인
호텔/리조트,다락휴,오프라인
호텔/리조트,글래드호텔앤리조트,오프라인
호텔/리조트,소피텔 앰배서더 서울,오프라인
호텔/리조트,세이지우드,오프라인
호텔/리조트,페어몬트 앰배서더 서울,오프라인
주유/충전,GS칼텍스,오프라인
주유/충전,E1,오프라인
편의점/카페,GS25,오프라인
편의점/카페,CU,오프라인
편의점/카페,세븐일레븐,오프라인
편의점/카페,이마트24,오프라인
편의점/카페,미니스톱,오프라인
편의점/카페,스토리웨이,오프라인
백화점·쇼핑,롯데백화점,오프라인
백화점·쇼핑,롯데아울렛,오프라인
백화점·쇼핑,롯데몰,오프라인
백화점·쇼핑,롯데면세점,오프라인
백화점·쇼핑,현대백화점면세점,오프라인
백화점·쇼핑,AK플라자,오프라인
백화점·쇼핑,파르나스몰,오프라인
백화점·쇼핑,아이파크몰,오프라인
백화점·쇼핑,앨리웨이,오프라인
백화점·쇼핑,JDC면세점,오프라인
백화점·쇼핑,스타필드,오프라인
백화점·쇼핑,갤러리아,오프라인
백화점·쇼핑,신세계면세점,오프라인
마트/슈퍼,코스트코 코리아,오프라인
마트/슈퍼,롯데마트,오프라인
마트/슈퍼,롯데슈퍼,오프라인
마트/슈퍼,홈플러스 마트,오프라인
마트/슈퍼,홈플러스 익스프레스,오프라인
마트/슈퍼,GS 더 프레시,오프라인
마트/슈퍼,농협하나로마트,오프라인
마트/슈퍼,초록마을,오프라인
마트/슈퍼,식자재왕도매마트,오프라인
마트/슈퍼,고향뜨락,오프라인
마트/슈퍼,이마트 에브리데이,오프라인
생활/가전,이케아,오프라인
생활/가전,다이소,오프라인
생활/가전,롯데하이마트,오프라인
생활/가전,LG전자 베스트샵,오프라인
생활/가전,프리스비,오프라인
생활/가전,에이샵,오프라인
생활/가전,아이스토어,오프라인
생활/가전,아트박스,오프라인
생활/가전,오피스디포,오프라인
생활/가전,올리브영,오프라인
생활/가전,무신사 스탠다드,오프라인
생활/가전,이니스프리,오프라인
생활/가전,ABC마트,오프라인
편의점/카페,스타벅스,오프라인
편의점/카페,투썸플레이스,오프라인
편의점/카페,빽다방,오프라인
편의점/카페,메가커피,오프라인
편의점/카페,이디야커피,오프라인
편의점/카페,더벤티,오프라인
편의점/카페,할리스,오프라인
편의점/카페,공차,오프라인
편의점/카페,커피빈,오프라인
편의점/카페,엔제리너스,오프라인
편의점/카페,폴바셋,오프라인
편의점/카페,파스쿠찌,오프라인
편의점/카페,블루보틀,오프라인
편의점/카페,탐앤탐스,오프라인
편의점/카페,아마스빈,오프라인
편의점/카페,커피베이,오프라인
편의점/카페,테라로사,오프라인
편의점/카페,잠바주스,오프라인
편의점/카페,커피앳웍스,오프라인
편의점/카페,카페스토리웨이,오프라인
편의점/카페,아티제,오프라인
편의점/카페,댄싱컵,오프라인
편의점/카페,팀홀튼,오프라인
편의점/카페,컴포즈커피,오프라인
편의점/카페,카페꼼마,오프라인
제과/디저트,파리바게뜨,오프라인
제과/디저트,파리크라상,오프라인
제과/디저트,뚜레쥬르,오프라인
제과/디저트,배스킨라빈스,오프라인
제과/디저트,던킨,오프라인
제과/디저트,크리스피 크림 도넛,오프라인
제과/디저트,디저트39,오프라인
제과/디저트,트리핀,오프라인
제과/디저트,빚은,오프라인
외식,롯데리아,오프라인
외식,맥도날드,오프라인
외식,KFC,오프라인
외식,쉐이크쉑,오프라인
외식,라그릴리아,오프라인
외식,피그인더가든,오프라인
외식,김가네,오프라인
외식,봉추찜닭,오프라인
외식,스트릿,오프라인
외식,퀸즈파크,오프라인
외식,베라,오프라인
외식,라뜰리에,오프라인
외식,에그슬럿,오프라인
외식,시티델리,오프라인
외식,리나스,오프라인
외식,VIPS,오프라인
외식,제일제면소,오프라인
외식,더플레이스,오프라인
외식,더테이스트릴,오프라인
외식,파파이스,오프라인
외식,쿠차라,오프라인
외식,아웃백 스테이크하우스,오프라인
외식,플레이팅,오프라인
외식,이삭토스트,오프라인
외식,한솥도시락,오프라인
영화/도서,롯데시네마,오프라인
영화/도서,교보문고,오프라인
영화/도서,교보핫트랙스,오프라인
영화/도서,영풍문고,오프라인
영화/도서,알라딘 중고서점,오프라인
영화/도서,종로서적,오프라인
레저/여행,서울랜드,오프라인
레저/여행,아쿠아플라넷,오프라인
레저/여행,설악 워터피아,오프라인
레저/여행,N서울타워,오프라인
레저/여행,공항철도,오프라인
레저/여행,마티나 라운지,오프라인
레저/여행,성문안 컨트리클럽,오프라인
레저/여행,메타나 골드,오프라인
온라인,배달의민족,온라인
온라인,코스트코 코리아,온라인
온라인,무신사,온라인
온라인,대한항공,온라인
온라인,아시아나항공,온라인
온라인,진에어,온라인
온라인,현대홈쇼핑,온라인
온라인,GS SHOP,온라인
온라인,롯데홈쇼핑,온라인
온라인,롯데ON,온라인
온라인,티몬,온라인
온라인,크림,온라인
온라인,GS 프레시몰,온라인
온라인,우리동네 GS,온라인
온라인,포켓CU,온라인
온라인,이랜드몰,온라인
온라인,S.I. 빌리지,온라인
온라인,신세계면세점,온라인
온라인,도미노피자,온라인
온라인,버거킹,온라인
온라인,폴바셋,온라인
온라인,오아시스마켓,온라인
온라인,아임얼라이브,온라인
온라인,갤러리아몰,온라인
온라인,파스텔몰,온라인
온라인,안다르,온라인
온라인,알라딘,온라인
온라인,텐바이텐,온라인
온라인,롯데하이마트,온라인
온라인,이니스프리,온라인
온라인,현대이지웰,온라인
온라인,라엘,온라인
온라인,모두투어,온라인
온라인,SRT Play,온라인
온라인,패스오더,온라인
